state,district,latitude,longitude,year,season,temperature,soil_type,pH,seasonal_rainfall,rice_area,rice_production,rice_yield,wheat_area,wheat_production,wheat_yield,maize_area,maize_production,maize_yield
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1997,Kharif     ,28.01,Red,5.92,350.36,35600,75400,2.117977528,37.83649464,23.80037566,0.629032258,2800,4900,1.75
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1997,Rabi       ,25.69,Red,5.92,122.3,18000,37300,2.072222222,300,200,0.666666667,600,2400,4
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1998,Kharif     ,27.32,Red,5.92,612.24,38300,96800,2.527415144,27.88468966,17.5403693,0.629032258,3300,6700,2.03030303
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1998,Rabi       ,25.67,Red,5.92,41.81,26600,63900,2.402255639,400,200,0.5,300,1600,5.333333333
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1999,Kharif     ,27.88,Red,5.92,498.22,37991,105082,2.765970888,40.35035822,25.38167695,0.629032258,3358,9540,2.840976772
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,1999,Rabi       ,25.3,Red,5.92,36.52,20258,45669,2.254368644,439,294,0.669703872,455,2203,4.841758242
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2000,Kharif     ,26.75,Red,5.92,423.65,39905,117680,2.949003884,35.56183046,22.36953852,0.629032258,3475,9049,2.604028777
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2000,Rabi       ,25.71,Red,5.92,36.47,22099,57236,2.589981447,520,297,0.571153846,399,2148,5.383458647
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2001,Kharif     ,27.59,Red,5.92,528.03,32878,95609,2.907993187,17.64706723,11.10057455,0.629032258,2667,7129,2.67304087
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2001,Rabi       ,25.61,Red,5.92,17.13,38119,108906,2.857000446,307,213,0.693811075,447,2893,6.472035794
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2002,Kharif     ,28.35,Red,5.92,326.77,29066,66329,2.282013349,43.82598384,27.56795758,0.629032258,3541,3431,0.968935329
